"15021",592,64,122,584,136,578,70,108,584,116,0,58,612,598,590,580,54,74,108,234,566,158,596,122,82,588,592,628,598,608,600,88,162,610,580,66,596,586,560,574,106,584,596,80,602,66,70,540,562,590,80,162,126,76,80,586,606,620,96,132,148,118,286,116,86,586,594,590,630,608,76,162,164,600,240,592,100,134,590,602,614,624,576,588,112,142,86,590,60,520,612,586,82
"15408",588,46,138,574,108,568,60,118,574,96,58,0,602,602,580,570,36,52,110,198,560,190,590,92,76,588,578,618,590,604,600,54,188,606,572,64,590,580,554,574,92,574,586,82,600,54,52,530,556,580,46,138,100,46,60,584,600,616,70,146,110,80,254,86,72,582,608,580,640,606,78,130,180,596,214,592,66,148,584,596,606,618,566,576,98,154,60,590,50,506,606,578,66
"15424",46,598,726,30,500,30,640,706,32,516,612,602,0,42,26,36,630,598,670,408,62,778,38,596,618,42,26,20,26,22,46,600,758,34,34,636,28,26,44,30,610,26,16,640,26,614,632,76,38,30,580,470,524,590,616,52,18,30,552,744,482,542,358,520,664,32,144,26,106,26,632,482,768,32,396,46,556,702,26,26,32,36,26,32,592,738,572,56,632,108,28,26,576
"20100",52,604,692,68,514,72,634,688,70,530,598,602,42,0,64,74,634,600,650,438,84,736,64,602,620,64,68,26,48,52,48,602,724,40,76,630,64,56,64,54,606,66,54,638,36,616,626,102,70,68,586,472,538,598,612,64,44,32,558,706,502,544,384,532,654,58,110,64,78,36,626,492,726,50,424,50,566,674,54,60,48,42,62,66,590,702,582,54,634,136,42,68,552
"20101",28,578,700,16,478,8,618,680,18,498,590,580,26,64,0,22,610,576,650,390,66,752,32,574,600,40,20,42,20,28,48,580,738,36,22,614,18,16,28,34,590,12,10,618,48,592,614,58,22,12,558,452,506,572,596,58,26,44,532,720,464,524,336,502,642,28,158,8,124,44,612,460,742,30,378,44,534,686,24,26,34,54,14,14,572,714,550,52,614,90,40,16,554
"20146",30,570,694,22,470,18,604,678,24,490,580,570,36,74,22,0,600,568,644,378,60,744,22,564,584,36,22,52,30,38,62,566,728,42,18,604,20,30,38,44,580,14,28,606,46,588,604,56,18,22,550,438,496,562,582,64,38,54,528,710,456,514,330,494,628,26,172,22,126,42,598,454,734,34,366,50,528,676,20,30,36,56,16,24,562,704,540,52,604,84,44,22,550
"20330",618,42,110,604,126,598,66,92,604,116,54,36,630,634,610,600,0,58,92,226,582,158,620,90,62,612,608,648,620,634,626,66,164,638,600,56,620,606,578,596,88,604,616,68,628,54,50,560,582,610,62,162,112,58,56,618,630,646,86,122,142,100,284,94,68,612,640,608,670,640,56,158,152,626,246,622,84,114,614,626,636,648,596,608,90,130,66,620,40,536,636,606,80
"20707",584,42,140,570,104,566,74,116,570,108,74,52,598,600,576,568,58,0,116,200,558,188,586,108,74,582,572,614,586,600,596,72,192,604,568,80,584,580,554,568,100,570,582,86,596,68,68,526,550,576,48,136,92,58,72,584,596,612,80,156,112,80,262,92,72,576,608,576,634,606,84,136,182,592,214,588,72,144,578,592,602,614,562,572,84,156,70,586,66,502,602,574,66
"20713",654,92,106,648,178,642,102,122,648,178,108,110,670,650,650,644,92,116,0,280,614,146,660,122,98,652,648,680,660,672,658,114,140,668,644,86,664,642,622,638,98,642,656,118,662,102,86,606,620,654,122,214,162,110,96,648,668,678,136,118,202,156,348,148,106,650,662,648,690,676,106,220,136,668,302,652,154,102,654,666,668,676,642,638,114,116,122,656,98,584,668,650,116
"20717",402,194,324,386,124,376,236,294,392,142,234,198,408,438,390,378,226,200,280,0,404,382,394,192,220,400,386,424,406,402,426,200,370,410,380,230,392,390,374,402,200,372,400,238,414,210,222,364,374,386,174,88,158,180,212,398,410,418,160,336,126,158,92,144,260,392,490,386,490,416,234,136,372,398,54,414,160,324,394,398,408,424,374,388,210,342,170,404,222,338,416,384,218
